school,Total,Male,Female,AM,AS,BL,HI,PI,WH,MU,ESOL,FARMS,special_ed,Level,Year,X,EML
Flower Valley ES,496,50.8,49.2,≤5.0,10.5,14.3,24.6,≤5.0,45.4,5.2,16.9,28.2,15.3,Elementary School,2015-2016,,
Forest Knolls ES,753,53.1,46.9,≤5.0,7.3,14.6,41.3,≤5.0,31.1,5.7,22.7,37.5,9.7,Elementary School,2015-2016,,
Fox Chapel ES,635,52.8,47.2,≤5.0,17,26.5,42.8,≤5.0,10.1,≤5.0,32.4,53.2,7.6,Elementary School,2015-2016,,
Gaithersburg ES,863,53.5,46.5,≤5.0,≤5.0,15.8,73.8,≤5.0,5.1,≤5.0,48,84,11.1,Elementary School,2015-2016,,
Galway ES,807,53.2,46.8,≤5.0,10,58.1,23.9,≤5.0,≤5.0,≤5.0,31.2,60,10.5,Elementary School,2015-2016,,
Garrett Park ES,797,54.0,46.0,≤5.0,16.1,12.9,20.1,≤5.0,43.3,7.3,22.7,16.3,6.4,Elementary School,2015-2016,,
Georgian Forest ES,585,53.5,46.5,≤5.0,6.7,27.9,53.5,≤5.0,8.7,≤5.0,32.6,77.8,10.6,Elementary School,2015-2016,,
Germantown ES,318,55.7,44.3,≤5.0,18.6,32.4,24.8,≤5.0,19.5,≤5.0,12.6,35.5,16.7,Elementary School,2015-2016,,
"William B. Gibbs, Jr. ES",744,50.5,49.5,≤5.0,29.3,25.7,16.9,≤5.0,20.3,7.8,12.6,35.2,13.8,Elementary School,2015-2016,,
Glen Haven ES,551,47.7,52.3,≤5.0,8.7,22.5,50.3,≤5.0,15.2,≤5.0,30.5,62.3,11.8,Elementary School,2015-2016,,
Glenallan ES,664,52.4,47.6,≤5.0,7.7,34.3,47.3,≤5.0,8.1,≤5.0,26.1,66.3,11.4,Elementary School,2015-2016,,
Goshen ES,575,52.3,47.7,≤5.0,10.8,25.6,35.0,≤5.0,22.4,5.9,19.5,43.7,12.5,Elementary School,2015-2016,,
Great Seneca Creek ES,698,51.6,48.4,≤5.0,12.3,29.7,26.2,≤5.0,26.1,5.4,13.3,38.1,10.6,Elementary School,2015-2016,,
Greencastle ES,759,53.0,47.0,≤5.0,7.4,69,19.4,≤5.0,≤5.0,≤5.0,15.4,64.8,10,Elementary School,2015-2016,,
Greenwood ES,477,48.8,51.2,≤5.0,9.4,7.5,10.3,≤5.0,65.4,7.3,6.7,8.8,7.1,Elementary School,2015-2016,,
Harmony Hills ES,743,51.0,49.0,≤5.0,5.2,16.2,74.3,≤5.0,≤5.0,≤5.0,51.5,87.3,9.7,Elementary School,2015-2016,,
Highland ES,558,53.9,46.1,≤5.0,≤5.0,14.3,71.3,≤5.0,5.9,≤5.0,52.9,79.4,10.8,Elementary School,2015-2016,,
Highland View ES,408,52.9,47.1,≤5.0,≤5.0,24.8,32.6,≤5.0,35.3,≤5.0,34.8,48,6.4,Elementary School,2015-2016,,
Jackson Road ES,691,52.5,47.5,≤5.0,9.1,53.1,32.6,≤5.0,≤5.0,≤5.0,28.2,78.4,13.5,Elementary School,2015-2016,,
Jones Lane ES,466,52.8,47.2,≤5.0,9.7,12.7,24.2,≤5.0,47,6,17.4,27.7,14.6,Elementary School,2015-2016,,
Kemp Mill ES,530,49.1,50.9,≤5.0,≤5.0,17.2,72.3,≤5.0,≤5.0,≤5.0,51.9,77.2,8.9,Elementary School,2015-2016,,
Kensington Parkwood ES,644,51.1,48.9,≤5.0,5.3,≤5.0,10.6,≤5.0,70.8,8.5,6.8,5.3,11.8,Elementary School,2015-2016,,
Lake Seneca ES,502,51.6,48.4,≤5.0,6.6,38.4,31.9,≤5.0,17.3,5.8,21.7,55.6,18.7,Elementary School,2015-2016,,
Lakewood ES,543,47.9,52.1,≤5.0,45.1,10.5,7.2,≤5.0,30.8,6.1,10.9,7,9.6,Elementary School,2015-2016,,
Laytonsville ES,412,55.8,44.2,≤5.0,7.5,15.5,18.0,≤5.0,52.2,6.3,6.3,18.7,15.5,Elementary School,2015-2016,,
JoAnn Leleck ES,822,50.7,49.3,≤5.0,≤5.0,13.3,82.2,≤5.0,≤5.0,≤5.0,65.8,94.2,7.8,Elementary School,2015-2016,,
Little Bennett ES,643,50.2,49.8,≤5.0,30.6,18.2,11.5,≤5.0,30.3,9.2,10.1,15.7,8.2,Elementary School,2015-2016,,
Luxmanor ES,429,49.4,50.6,≤5.0,24,11,18.6,≤5.0,38.9,7.2,23.5,17,11.2,Elementary School,2015-2016,,
Thurgood Marshall ES,664,53.5,46.5,≤5.0,18.2,16.3,28.5,≤5.0,31.9,≤5.0,14.9,31.2,14.6,Elementary School,2015-2016,,
Maryvale ES,620,46.1,53.9,≤5.0,9.7,26.5,31.1,≤5.0,25.2,7.3,25.3,41.9,7.9,Elementary School,2015-2016,,
Spark M. Matsunaga ES,856,49.6,50.4,≤5.0,36.3,19.4,13.6,≤5.0,24.9,5.7,11.3,18,6.3,Elementary School,2015-2016,,
S. Christa McAuliffe ES,640,49.1,50.9,≤5.0,8.3,37.8,29.7,≤5.0,16.4,7.5,21.7,49.1,9.5,Elementary School,2015-2016,,
Ronald McNair ES,837,49.9,50.1,≤5.0,30.1,22.3,16.4,≤5.0,24.7,6.2,17.8,25.7,6.8,Elementary School,2015-2016,,
Meadow Hall ES,462,55.0,45.0,≤5.0,10,11.5,53.5,≤5.0,21,≤5.0,23.2,53.5,18.6,Elementary School,2015-2016,,
Mill Creek Towne ES,374,55.6,44.4,≤5.0,10.2,12.8,44.4,≤5.0,27,5.1,31.8,50.3,22.5,Elementary School,2015-2016,,
Monocacy ES,166,59.0,41.0,≤5.0,≤5.0,7.8,11.4,≤5.0,71.7,6,5.4,18.7,13.3,Elementary School,2015-2016,,
Montgomery Knolls ES,474,56.8,43.2,≤5.0,6.3,24.3,51.1,≤5.0,16.2,≤5.0,48.9,65.6,16.9,Elementary School,2015-2016,,
New Hampshire Estates ES,498,51.0,49.0,≤5.0,≤5.0,17.9,77.3,≤5.0,≤5.0,≤5.0,63.1,91.8,7.2,Elementary School,2015-2016,,
Roscoe R. Nix ES,538,52.2,47.8,≤5.0,5.6,38.5,49.4,≤5.0,≤5.0,≤5.0,48.1,75.1,9.1,Elementary School,2015-2016,,
North Chevy Chase ES,387,52.5,47.5,≤5.0,5.2,16.5,15.0,≤5.0,56.3,7,8.3,12.4,10.9,Elementary School,2015-2016,,
Oak View ES,403,49.6,50.4,≤5.0,5.5,17.6,65.8,≤5.0,9.7,≤5.0,34,79.7,11.9,Elementary School,2015-2016,,
Oakland Terrace ES,480,48.3,51.7,≤5.0,7.7,12.5,29.8,≤5.0,40,9.6,15.6,30.6,15.2,Elementary School,2015-2016,,
Olney ES,647,53.2,46.8,≤5.0,14.5,15.6,15.3,≤5.0,47.6,7,10.8,19.3,7.6,Elementary School,2015-2016,,
William Tyler Page ES,421,48.2,51.8,≤5.0,16.9,54.6,20.7,≤5.0,5.9,≤5.0,23,51.1,6.7,Elementary School,2015-2016,,
Pine Crest ES,469,51.0,49.0,≤5.0,6.6,21.7,37.7,≤5.0,29.4,≤5.0,22.6,46.1,7.9,Elementary School,2015-2016,,
Piney Branch ES,563,51.7,48.3,≤5.0,≤5.0,35,19.5,≤5.0,36.4,5.5,15.6,33.7,8.9,Elementary School,2015-2016,,
Poolesville ES,417,48.4,51.6,≤5.0,5.3,≤5.0,10.8,≤5.0,74.6,≤5.0,5.3,10.6,9.4,Elementary School,2015-2016,,
Potomac ES,474,52.1,47.9,≤5.0,34.6,≤5.0,5.1,≤5.0,50.6,5.5,8.4,≤5.0,5.9,Elementary School,2015-2016,,
Judith A. Resnik ES,643,51.8,48.2,≤5.0,11.4,33,38.9,≤5.0,12.6,≤5.0,30.6,56.5,8.2,Elementary School,2015-2016,,
Dr. Sally K. Ride ES,514,55.4,44.6,≤5.0,17.5,40.3,25.5,≤5.0,11.9,≤5.0,20.4,49.6,20.4,Elementary School,2015-2016,,
Ritchie Park ES,532,48.9,51.1,≤5.0,22.4,9,18.8,≤5.0,43.6,5.6,11.8,21.8,6.6,Elementary School,2015-2016,,
Rock Creek Forest ES,708,47.9,52.1,≤5.0,5.4,16.2,33.2,≤5.0,38.6,6.2,16.5,26.3,9.6,Elementary School,2015-2016,,
Rock Creek Valley ES,435,49.9,50.1,≤5.0,15.9,10.1,37.5,≤5.0,28,8.3,20,31.3,21.8,Elementary School,2015-2016,,
Rock View ES,615,51.7,48.3,≤5.0,9.6,17.2,45.9,≤5.0,20.7,6,27.5,50.1,14.5,Elementary School,2015-2016,,
Lois P. Rockwell ES,459,50.5,49.5,≤5.0,11.8,11.1,23.3,≤5.0,47.9,5.9,10.7,19.8,19,Elementary School,2015-2016,,
Rolling Terrace ES,893,48.9,51.1,≤5.0,≤5.0,15.3,65.6,≤5.0,12.9,≤5.0,51.8,72.5,7.2,Elementary School,2015-2016,,
Rosemary Hills ES,610,51.0,49.0,≤5.0,≤5.0,24.9,13.3,≤5.0,52,5.9,17.5,27.7,8,Elementary School,2015-2016,,
Rosemont ES,588,53.9,46.1,≤5.0,8.8,25.5,48.8,≤5.0,11.9,≤5.0,44,60.4,12.8,Elementary School,2015-2016,,
Sequoyah ES,385,51.4,48.6,≤5.0,11.4,13.2,50.4,≤5.0,21.3,≤5.0,32.7,54.3,16.4,Elementary School,2015-2016,,
Seven Locks ES,398,48.2,51.8,≤5.0,18.8,7.8,10.1,≤5.0,54.8,8.3,13.6,5.3,6.3,Elementary School,2015-2016,,
Sherwood ES,513,53.6,46.4,≤5.0,13.5,18.3,13.5,≤5.0,50.3,≤5.0,5.8,19.5,17.5,Elementary School,2015-2016,,
Sargent Shriver ES,756,51.1,48.9,≤5.0,7.7,11.9,75.7,≤5.0,≤5.0,≤5.0,47,81.9,7.4,Elementary School,2015-2016,,
Flora M. Singer ES,735,53.7,46.3,≤5.0,6.9,13.6,39.2,≤5.0,35.9,≤5.0,27.9,41.2,17,Elementary School,2015-2016,,
Sligo Creek ES,647,51.9,48.1,≤5.0,≤5.0,24.1,11.4,≤5.0,52.2,7.4,10.4,13.4,9.3,Elementary School,2015-2016,,
Somerset ES,569,51.7,48.3,≤5.0,9,≤5.0,16.2,≤5.0,62.7,8.1,18.1,8.4,6.5,Elementary School,2015-2016,,
South Lake ES,814,52.9,47.1,≤5.0,6.6,27.6,60.2,≤5.0,≤5.0,≤5.0,52.2,85.7,5.5,Elementary School,2015-2016,,
Stedwick ES,580,52.9,47.1,≤5.0,5.2,30.9,43.3,≤5.0,13.8,6.4,34.3,60.3,11.7,Elementary School,2015-2016,,
Stone Mill ES,644,49.8,50.2,≤5.0,49.2,12.6,5.4,≤5.0,28.4,≤5.0,10.6,9.3,12.3,Elementary School,2015-2016,,
Stonegate ES,494,52.8,47.2,≤5.0,15.2,33,17.2,≤5.0,25.1,9.1,10.5,24.9,13.2,Elementary School,2015-2016,,
Strathmore ES,473,49.9,50.1,≤5.0,5.7,41.6,43.3,≤5.0,6.1,≤5.0,20.9,60.7,13.1,Elementary School,2015-2016,,
Strawberry Knoll ES,619,51.9,48.1,≤5.0,13.2,29.1,37.8,≤5.0,12.9,6.1,21,48,16.3,Elementary School,2015-2016,,
Summit Hall ES,674,53.1,46.9,≤5.0,≤5.0,20,70.5,≤5.0,≤5.0,≤5.0,51.6,81.2,10.8,Elementary School,2015-2016,,
Takoma Park ES,703,48.2,51.8,≤5.0,≤5.0,35.6,16.9,≤5.0,37.3,6.8,29,36,5.8,Elementary School,2015-2016,,
Travilah ES,389,46.5,53.5,≤5.0,45.5,5.4,5.4,≤5.0,38.6,≤5.0,10.8,6.2,5.9,Elementary School,2015-2016,,
Twinbrook ES,547,52.7,47.3,≤5.0,13,9.3,61.1,≤5.0,13,≤5.0,49,65.3,10.4,Elementary School,2015-2016,,
Viers Mill ES,681,50.8,49.2,≤5.0,9,10,61.7,≤5.0,16.4,≤5.0,43.6,67.1,17.3,Elementary School,2015-2016,,
Washington Grove ES,444,56.3,43.7,≤5.0,9,22.1,55.2,≤5.0,11.5,≤5.0,50.5,74.3,20.5,Elementary School,2015-2016,,
Waters Landing ES,705,49.5,50.5,≤5.0,5.4,37.9,35.3,≤5.0,14.6,6.5,23,52.3,10.2,Elementary School,2015-2016,,
Watkins Mill ES,672,52.1,47.9,≤5.0,8.5,33.5,49.0,≤5.0,≤5.0,≤5.0,45.2,75.6,17.1,Elementary School,2015-2016,,
Wayside ES,524,52.9,47.1,≤5.0,38.9,6.9,6.5,≤5.0,42,5.7,11.5,6.3,9.2,Elementary School,2015-2016,,
Weller Road ES,709,49.5,50.5,≤5.0,9.4,9.6,74.6,≤5.0,≤5.0,≤5.0,44.7,75.5,10,Elementary School,2015-2016,,
Westbrook ES,437,52.6,47.4,≤5.0,≤5.0,≤5.0,9.6,≤5.0,75.7,7.1,8.9,≤5.0,13.5,Elementary School,2015-2016,,
Westover ES,305,55.7,44.3,≤5.0,15.4,38.4,18.7,≤5.0,23,≤5.0,10.2,24.9,22,Elementary School,2015-2016,,
Wheaton Woods ES,532,48.7,51.3,≤5.0,8.1,27.8,58.1,≤5.0,≤5.0,≤5.0,44.9,82.7,8.3,Elementary School,2015-2016,,
Whetstone ES,786,51.9,48.1,≤5.0,8.3,26,52.5,≤5.0,9.4,≤5.0,39.4,60.9,14.8,Elementary School,2015-2016,,
Wilson Wims ES,921,51.5,48.5,≤5.0,40.3,15.2,12.6,≤5.0,24.4,7.3,9.3,11.3,≤5.0,Elementary School,2015-2016,,
Wood Acres ES,660,52.6,47.4,≤5.0,11.7,≤5.0,10.9,≤5.0,67.3,6.7,8.9,≤5.0,7.1,Elementary School,2015-2016,,
Woodfield ES,283,48.8,51.2,≤5.0,5.3,11.3,20.1,≤5.0,57.2,6,≤5.0,20.8,18.7,Elementary School,2015-2016,,
Woodlin ES,589,51.3,48.7,≤5.0,6.8,25.8,20.9,≤5.0,37.5,8.5,16.6,23.3,14.3,Elementary School,2015-2016,,
Wyngate ES,755,51.3,48.7,≤5.0,8.6,≤5.0,10.7,≤5.0,68.5,8.2,7.2,≤5.0,6.9,Elementary School,2015-2016,,
Argyle MS,912,57.2,42.8,≤5.0,10.3,30.6,45.5,≤5.0,10,≤5.0,13.2,58.4,9.9,Middle School,2015-2016,,
John T. Baker MS,813,49.3,50.7,≤5.0,5.8,9.3,20.5,≤5.0,58.3,5.5,≤5.0,19.1,14.6,Middle School,2015-2016,,
Benjamin Banneker MS,863,52.4,47.6,≤5.0,12.1,62.3,16.1,≤5.0,5.6,≤5.0,≤5.0,51,10.8,Middle School,2015-2016,,
Briggs Chaney MS,866,49.2,50.8,≤5.0,14.3,53.1,19.6,≤5.0,8.3,≤5.0,7.6,48.8,10.4,Middle School,2015-2016,,
Cabin John MS,941,52.5,47.5,≤5.0,28.1,11.5,7.5,≤5.0,47.7,5.2,6.8,7.7,15.3,Middle School,2015-2016,,
Roberto W. Clemente MS,1277,51.5,48.5,≤5.0,25.8,25,28.3,≤5.0,15.2,5.4,5.1,33.9,9.6,Middle School,2015-2016,,
Eastern MS,905,44.8,55.2,≤5.0,13.7,17.3,40.4,≤5.0,24.1,≤5.0,17,46.3,8.6,Middle School,2015-2016,,
William H. Farquhar MS,595,47.9,52.1,≤5.0,13.3,18.2,14.3,≤5.0,48.4,5.9,≤5.0,12.4,10.3,Middle School,2015-2016,,
Forest Oak MS,804,50.1,49.9,≤5.0,7.5,28.4,46.9,≤5.0,13.3,≤5.0,16.3,58.6,13.3,Middle School,2015-2016,,
Robert Frost MS,1112,52.0,48.0,≤5.0,34.6,≤5.0,6.8,≤5.0,48,5.2,≤5.0,5.8,5.7,Middle School,2015-2016,,
Gaithersburg MS,752,56.4,43.6,≤5.0,8,21.9,44.1,≤5.0,21.1,≤5.0,13.7,47.7,17.7,Middle School,2015-2016,,
Herbert Hoover MS,1038,51.8,48.2,≤5.0,30.9,6.5,5.4,≤5.0,50.7,6.3,≤5.0,≤5.0,10.7,Middle School,2015-2016,,
Francis Scott Key MS,979,52.1,47.9,≤5.0,10.3,43,40.7,≤5.0,≤5.0,≤5.0,13,70.7,9.2,Middle School,2015-2016,,
"Dr. Martin Luther King, Jr.  MS",623,49.6,50.4,≤5.0,13.6,36.1,28.1,≤5.0,16.7,5.3,9.1,48.2,10.8,Middle School,2015-2016,,
Kingsview MS,1034,48.8,51.2,≤5.0,27.5,21.2,13.8,≤5.0,32.1,5.3,≤5.0,18,8.1,Middle School,2015-2016,,
Lakelands Park MS,1049,48.9,51.1,≤5.0,15.1,13.4,18.3,≤5.0,48.6,≤5.0,6.2,22,11.1,Middle School,2015-2016,,
Col. E. Brooke Lee MS,691,54.0,46.0,≤5.0,9.3,25.5,54.6,≤5.0,7.1,≤5.0,18.4,66.7,13.9,Middle School,2015-2016,,
A. Mario Loiederman MS,919,39.9,60.1,≤5.0,6.1,21.5,57.7,≤5.0,11.6,≤5.0,18.9,62.1,12.3,Middle School,2015-2016,,
Montgomery Village MS,713,54.7,45.3,≤5.0,10,30.4,49.2,≤5.0,6.7,≤5.0,16,66.3,16.1,Middle School,2015-2016,,
Neelsville MS,911,51.0,49.0,≤5.0,8.1,32.8,47.1,≤5.0,7.8,≤5.0,16.5,67.7,8.3,Middle School,2015-2016,,
Newport Mill MS,587,50.8,49.2,≤5.0,11.1,16.5,48.4,≤5.0,19.6,≤5.0,15,49.4,18.4,Middle School,2015-2016,,
North Bethesda MS,1028,53.9,46.1,≤5.0,11.9,5.8,12.5,≤5.0,63.1,6.4,5.7,5.9,10.2,Middle School,2015-2016,,
Parkland MS,964,52.8,47.2,≤5.0,17.5,24.5,43.6,≤5.0,11,≤5.0,9.3,48.3,9.1,Middle School,2015-2016,,
Rosa M. Parks MS,902,50.9,49.1,≤5.0,10.3,10.2,11.1,≤5.0,63.2,5.1,≤5.0,9.8,7,Middle School,2015-2016,,
John Poole MS,332,52.7,47.3,≤5.0,≤5.0,≤5.0,10.8,≤5.0,75,≤5.0,≤5.0,11.1,9.6,Middle School,2015-2016,,
Thomas W. Pyle MS,1516,51.3,48.7,≤5.0,11.2,≤5.0,7.9,≤5.0,72.1,6.5,5.9,≤5.0,8.5,Middle School,2015-2016,,
Redland MS,550,50.2,49.8,≤5.0,11.3,17.6,36.4,≤5.0,30.5,≤5.0,11.1,37.1,11.1,Middle School,2015-2016,,
Ridgeview MS,746,50.8,49.2,≤5.0,13.9,15.4,25.2,≤5.0,39.8,5.5,6.3,30,8.3,Middle School,2015-2016,,
Rocky Hill MS,1279,48.9,51.1,≤5.0,27.4,23.5,14.6,≤5.0,28.3,5.9,≤5.0,19.9,8.3,Middle School,2015-2016,,
Shady Grove MS,565,52.7,47.3,≤5.0,11.5,20.2,35.9,≤5.0,25.7,6.5,9,40.5,11.2,Middle School,2015-2016,,
Silver Spring International MS,1042,48.8,51.2,≤5.0,5.1,24.2,37.9,≤5.0,27.8,≤5.0,12.7,42.3,10.6,Middle School,2015-2016,,
Sligo MS,625,49.8,50.2,≤5.0,8.2,22.4,41.1,≤5.0,25.1,≤5.0,11.7,44,13.1,Middle School,2015-2016,,
Takoma Park MS,1055,52.1,47.9,≤5.0,20.2,28.9,15.4,≤5.0,30.1,5.3,8.2,24.7,6.4,Middle School,2015-2016,,
Tilden MS,850,55.2,44.8,≤5.0,17.6,7.4,19.3,≤5.0,48.9,6.4,16.5,11.6,15.1,Middle School,2015-2016,,
Julius West MS,1279,52.5,47.5,≤5.0,21,14.1,25.3,≤5.0,33.5,6,11.7,26.4,7.5,Middle School,2015-2016,,
Westland MS,1260,51.4,48.6,≤5.0,5.5,10.5,14.4,≤5.0,64.4,≤5.0,9,10.6,8.4,Middle School,2015-2016,,
White Oak MS,760,53.8,46.2,≤5.0,10.8,31.3,46.1,≤5.0,9.5,≤5.0,18,61.7,10,Middle School,2015-2016,,
Earle B. Wood MS,970,51.6,48.4,≤5.0,11.4,13.3,38.4,≤5.0,32.2,≤5.0,9.3,35.7,13.4,Middle School,2015-2016,,
Bethesda-Chevy Chase HS,2006,51.4,48.6,≤5.0,5.4,14.8,17.6,≤5.0,56.3,5.7,8.9,12,8.6,Middle School,2015-2016,,
Montgomery Blair HS,2882,50.8,49.2,≤5.0,15.3,25.5,32.3,≤5.0,22.7,≤5.0,15.5,36.3,6.7,High School,2015-2016,,
James Hubert Blake HS,1579,42.9,57.1,≤5.0,9.2,41.6,22.9,≤5.0,21.5,≤5.0,≤5.0,33.9,10.1,High School,2015-2016,,
Winston Churchill HS,2093,53.4,46.6,≤5.0,23.2,8.4,8.3,≤5.0,55.2,≤5.0,≤5.0,≤5.0,12.5,High School,2015-2016,,
Clarksburg HS,1989,49.9,50.1,≤5.0,18.4,28,26.6,≤5.0,22.7,≤5.0,6.9,29.6,8.9,High School,2015-2016,,
Damascus HS,1209,49.4,50.6,≤5.0,6.8,10.5,17.1,≤5.0,60,≤5.0,≤5.0,15.1,13.2,High School,2015-2016,,
Thomas Edison HS of Technology,506,70.8,29.2,≤5.0,≤5.0,22.5,51.6,≤5.0,18.4,≤5.0,17,43.9,30.2,High School,2015-2016,,
Albert Einstein HS,1689,45.7,54.3,≤5.0,9.7,19.8,47.2,≤5.0,20.2,≤5.0,14,43.8,14.5,High School,2015-2016,,
Gaithersburg HS,2306,53.5,46.5,≤5.0,8.1,25.6,45.6,≤5.0,16.8,≤5.0,20.3,42.8,14.1,High School,2015-2016,,
Walter Johnson HS,2289,51.7,48.3,≤5.0,11.1,9.7,17.2,≤5.0,55.9,5.8,8.1,7.1,11,High School,2015-2016,,
John F. Kennedy HS,1549,51.8,48.2,≤5.0,7.4,32.2,53.2,≤5.0,5.4,≤5.0,21.4,48.9,14.4,High School,2015-2016,,
Col. Zadok Magruder HS,1513,52.9,47.1,≤5.0,14.3,18.7,35.4,≤5.0,26.7,≤5.0,9.8,33.8,10.3,High School,2015-2016,,
Richard Montgomery HS,2244,49.5,50.5,≤5.0,25.5,15.2,23.4,≤5.0,30.5,≤5.0,11.1,18.4,6.8,High School,2015-2016,,
Northwest HS,2255,49.6,50.4,≤5.0,18,28.1,19.8,≤5.0,28.8,5.1,≤5.0,26,10.4,High School,2015-2016,,
Northwood HS,1579,50.0,50.0,≤5.0,6.3,24.6,52.8,≤5.0,13.8,≤5.0,22.5,50.4,12.5,High School,2015-2016,,
Paint Branch HS,1996,52.0,48.0,≤5.0,14.1,55.6,17.2,≤5.0,9.3,≤5.0,≤5.0,36.4,10.2,High School,2015-2016,,
Poolesville HS,1205,49.5,50.5,≤5.0,28.5,5.1,8.0,≤5.0,51.5,6.4,≤5.0,7.1,≤5.0,High School,2015-2016,,
Quince Orchard HS,1924,49.9,50.1,≤5.0,13.1,14.7,23.8,≤5.0,44,≤5.0,8.7,22.4,7.8,High School,2015-2016,,
Rockville HS,1342,54.7,45.3,≤5.0,11.3,13.3,38.7,≤5.0,32.7,≤5.0,11.9,33.3,16.3,High School,2015-2016,,
Seneca Valley HS,1198,50.4,49.6,≤5.0,11.4,36,29.1,≤5.0,19.6,≤5.0,11.9,38.4,12.9,High School,2015-2016,,
Sherwood HS,1890,49.8,50.2,≤5.0,11.7,16.9,15.2,≤5.0,52.2,≤5.0,10.2,17.2,10.1,High School,2015-2016,,
Springbrook HS,1790,57.6,42.4,≤5.0,11.3,41.8,35.1,≤5.0,8,≤5.0,14.9,44,9.7,High School,2015-2016,,
Watkins Mill HS,1524,55.3,44.7,≤5.0,8.7,31.6,43.1,≤5.0,11.7,≤5.0,20,51.4,12.9,High School,2015-2016,,
Wheaton HS,1554,59.2,40.8,≤5.0,12.1,26.4,50.7,≤5.0,8.4,≤5.0,18.9,47.6,11.1,High School,2015-2016,,
Walt Whitman HS,1977,49.5,50.5,≤5.0,13.2,≤5.0,9.3,≤5.0,69,≤5.0,8.8,≤5.0,9.5,High School,2015-2016,,
Thomas S. Wootton HS,2206,50.3,49.7,≤5.0,35.5,6.6,7.6,≤5.0,46.2,≤5.0,≤5.0,5.5,6.3,High School,2015-2016,,
Arcola ES,704,48.7,51.3,≤5.0,8.4,18.6,68.2,≤5.0,≤5.0,≤5.0,44.9,76.8,10.4,Elementary School,2016-2017,,
Ashburton ES,905,51.3,48.7,≤5.0,15.0,14.9,16.1,≤5.0,43.8,9.7,11.6,12.5,12.8,Elementary School,2016-2017,,
Bannockburn ES,454,51.5,48.5,≤5.0,11.7,≤5.0,8.8,≤5.0,67.8,8.1,6.8,≤5.0,7.7,Elementary School,2016-2017,,
Lucy V. Barnsley ES,712,55.8,44.2,≤5.0,14.0,10.0,34.1,≤5.0,33.8,7.7,13.2,31.0,14.2,Elementary School,2016-2017,,
Beall ES,812,54.6,45.4,≤5.0,24.0,12.1,21.9,≤5.0,35.2,6.4,17.5,25.2,10.7,Elementary School,2016-2017,,
Bel Pre ES,575,53.2,46.8,≤5.0,≤5.0,36.7,49.6,≤5.0,7.5,≤5.0,50.1,71.0,8.0,Elementary School,2016-2017,,
Bells Mill ES,614,50.3,49.7,≤5.0,27.4,11.1,9.6,≤5.0,46.3,5.7,9.9,9.8,8.1,Elementary School,2016-2017,,
Belmont ES,320,48.8,51.3,≤5.0,8.1,5.3,8.4,≤5.0,72.5,5.6,≤5.0,7.5,9.1,Elementary School,2016-2017,,
Bethesda ES,597,52.4,47.6,≤5.0,16.1,6.7,11.2,≤5.0,59.8,6.2,12.7,7.4,10.7,Elementary School,2016-2017,,
Beverly Farms ES,569,52.4,47.6,≤5.0,31.1,7.7,9.5,≤5.0,44.6,7.0,7.4,≤5.0,7.4,Elementary School,2016-2017,,
Bradley Hills ES,639,49.8,50.2,≤5.0,11.6,≤5.0,7.5,≤5.0,67.8,11.1,5.2,≤5.0,≤5.0,Elementary School,2016-2017,,
Brooke Grove ES,424,53.5,46.5,≤5.0,16.7,22.9,14.6,≤5.0,41.7,≤5.0,12.5,29.0,19.8,Elementary School,2016-2017,,
Brookhaven ES,451,57.4,42.6,≤5.0,6.9,33.0,49.7,≤5.0,8.0,≤5.0,42.4,70.5,20.8,Elementary School,2016-2017,,
Brown Station ES,470,53.4,46.6,≤5.0,11.3,28.3,48.1,≤5.0,7.9,≤5.0,29.8,68.9,14.3,Elementary School,2016-2017,,
Burning Tree ES,512,55.9,44.1,≤5.0,16.8,6.4,9.4,≤5.0,58.4,8.6,9.6,5.9,17.6,Elementary School,2016-2017,,
Burnt Mills ES,569,51.3,48.7,≤5.0,≤5.0,60.3,25.7,≤5.0,7.2,≤5.0,23.4,65.4,7.4,Elementary School,2016-2017,,
Burtonsville ES,587,52.3,47.7,≤5.0,13.3,59.5,18.4,≤5.0,5.1,≤5.0,11.1,46.0,≤5.0,Elementary School,2016-2017,,
Candlewood ES,353,49.3,50.7,≤5.0,19.0,13.9,20.1,≤5.0,41.4,≤5.0,15.6,23.5,9.6,Elementary School,2016-2017,,
Cannon Road ES,411,48.9,51.1,≤5.0,10.5,34.8,46.7,≤5.0,≤5.0,≤5.0,13.4,66.2,11.7,Elementary School,2016-2017,,
Carderock Springs ES,407,50.6,49.4,≤5.0,15.7,≤5.0,9.6,≤5.0,64.6,6.9,≤5.0,≤5.0,9.3,Elementary School,2016-2017,,
Rachel Carson ES,1069,50.2,49.8,≤5.0,16.4,7.8,19.2,≤5.0,49.5,7.2,11.9,20.0,9.7,Elementary School,2016-2017,,
Cashell ES,378,54.5,45.5,≤5.0,8.2,12.2,26.2,≤5.0,44.4,9.0,13.2,26.5,14.3,Elementary School,2016-2017,,
Cedar Grove ES,601,49.6,50.4,≤5.0,39.9,10.8,12.0,≤5.0,32.4,≤5.0,9.8,9.8,9.3,Elementary School,2016-2017,,
Chevy Chase ES,556,48.9,51.1,≤5.0,8.5,18.2,10.3,≤5.0,56.3,6.7,7.0,19.8,6.1,Elementary School,2016-2017,,
